customer_id,product_id,order_date,quantity,price,total_amount
10201,455,2024-10-14,4,156.21,0
10211,964,2024-07-23,2,32.51,0
10254,318,2024-09-10,1,70.93,0
10299,971,2024-11-27,4,203.94,0
10403,643,2024-05-03,5,263.87,0
10486,297,2024-09-13,2,274.1,0
10539,142,2025-03-17,1,34.64,0
10679,819,2024-04-23,4,192.51,0
10792,898,2024-04-21,2,31.51,0
10825,693,2024-09-09,1,286.34,0
10848,281,2024-05-26,5,120.02,0
11008,981,2024-07-23,2,366.42,0
11021,114,2024-08-12,5,67.92,0
11101,750,2024-09-27,5,96.94,0
11108,575,2024-06-26,2,27.59,0
11145,461,2024-04-09,1,38.38,0
11164,154,2024-11-20,5,129.83,0
11363,816,2024-10-02,3,81.96,0
11455,374,2024-04-14,2,101.7,0
11479,331,2025-01-28,2,452.6,0
11578,787,2024-05-22,2,36.37,0
11645,642,2024-12-23,5,367.65,0
11655,961,2025-03-05,4,365.54,0
11829,651,2024-05-10,5,85.92,0
11849,141,2024-08-14,5,409.35,0
11871,479,2024-09-23,3,258.28,0
11911,572,2025-02-21,3,395.04,0
12167,500,2024-11-20,1,187.51,0
12469,816,2024-06-24,3,326.55,0
12544,958,2024-07-02,3,153.12,0
12572,656,2025-01-22,4,226.45,0
12817,466,2024-06-06,4,397.46,0
12858,957,2024-06-16,3,376.19,0
12945,798,2024-09-30,5,194.83,0
13011,231,2024-07-29,2,276.11,0
13042,464,2024-05-15,5,254.8,0
13112,202,2024-12-15,2,182.06,0
13120,893,2024-04-07,1,40.2,0
13356,232,2024-12-27,5,408.95,0
13425,852,2024-09-14,4,409.58,0
13431,591,2025-01-03,3,206.38,0
13542,784,2024-12-17,2,373.36,0
13591,884,2024-04-21,1,394.06,0
13595,311,2024-08-02,1,496.5,0
13725,564,2024-06-16,4,285.72,0
13992,375,2024-09-28,5,25.87,0
14029,436,2025-02-20,4,113.64,0
14046,689,2024-12-19,4,125.91,0
14108,820,2024-09-22,1,357.97,0
14109,149,2024-07-17,5,179.92,0
14276,513,2024-09-14,5,212.42,0
14284,865,2024-06-05,1,323.83,0
14303,332,2024-08-14,5,425.1,0
14361,178,2024-12-12,4,233.12,0
14376,840,2025-02-15,5,20.46,0
14447,761,2024-03-20,2,109.97,0
14487,923,2024-11-01,5,60.82,0
14520,222,2024-12-22,3,372.61,0
14872,353,2024-03-31,2,272.78,0
14911,589,2025-01-18,2,231.85,0
15505,465,2024-10-25,2,350.15,0
15545,128,2024-12-08,2,475.77,0
15625,852,2024-12-31,4,380.53,0
15676,649,2024-04-22,3,355.78,0
15824,119,2024-12-25,2,256.91,0
15858,626,2024-09-20,2,213.97,0
15872,733,2025-03-14,2,185.4,0
16119,628,2024-12-03,1,71.83,0
16285,579,2024-10-30,4,145.86,0
16430,522,2024-10-23,2,204.96,0
16539,334,2024-04-10,3,474.32,0
16669,360,2024-05-25,3,238.74,0
16797,333,2024-07-27,1,124.08,0
16821,175,2024-05-18,4,358.95,0
16865,991,2025-01-06,3,208.47,0
17044,502,2024-03-28,1,306.5,0
17074,224,2024-06-02,1,260.52,0
17263,542,2024-06-10,5,375.27,0
17277,157,2024-10-21,4,22.26,0
17305,914,2024-12-26,5,104.05,0
17341,291,2024-08-10,5,98.76,0
17439,520,2024-08-12,4,462.82,0
17483,205,2024-06-11,4,210.55,0
17937,787,2025-02-17,4,260.64,0
18191,355,2024-12-11,2,433.83,0
18511,877,2024-04-07,4,96.94,0
18555,287,2025-03-06,2,332.47,0
18651,121,2024-07-04,5,412.7,0
18819,775,2024-06-16,4,476.13,0
18860,860,2025-01-13,1,145.57,0
19180,427,2024-08-17,2,351.84,0
19238,517,2025-01-11,2,108.34,0
19284,944,2024-07-28,5,162.45,0
19293,633,2024-06-20,1,118.31,0
19327,454,2024-04-26,3,334.71,0
19405,433,2024-06-29,4,48.94,0
19510,648,2024-10-21,4,296.5,0
19845,798,2024-10-26,2,367.78,0
19863,315,2024-05-14,2,180.67,0
19925,747,2025-01-29,3,364.55,0
20004,137,2024-05-25,3,220.32,0
20019,886,2025-03-04,4,300.03,0
20025,681,2024-12-21,2,68.51,0
20351,627,2024-05-30,5,362.11,0
20393,133,2025-02-28,5,468.55,0
20485,602,2024-06-07,4,333.92,0
20522,380,2024-11-07,2,302.49,0
20636,707,2024-03-22,2,257.81,0
20658,177,2024-11-06,3,196.97,0
20770,941,2024-11-01,2,391.43,0
20814,914,2024-12-18,4,291.29,0
20853,499,2024-07-10,3,227.39,0
20938,478,2024-10-22,1,84.68,0
21004,843,2024-04-17,5,171.55,0
21063,327,2025-01-23,2,499.5,0
21109,719,2024-07-17,3,39.67,0
21298,479,2025-01-17,4,276.73,0
21391,143,2025-01-11,1,63.56,0
21473,369,2024-10-19,2,343.37,0
21565,499,2024-08-13,4,484.81,0
21588,112,2024-03-25,2,298.63,0
21664,395,2024-06-10,3,326.37,0
21731,206,2024-08-19,5,22.86,0
21745,560,2024-12-23,5,124.91,0
21838,582,2024-06-25,2,289.97,0
22228,789,2025-02-08,1,54.94,0
22264,870,2024-03-26,1,138.85,0
22360,766,2024-04-19,3,192.92,0
22599,888,2025-01-28,4,36.27,0
22604,351,2025-02-08,1,247.45,0
22729,649,2024-03-31,2,131.22,0
22739,196,2024-07-15,5,217.55,0
23008,248,2024-11-01,5,194.27,0
23094,658,2025-01-17,2,43.03,0
23188,682,2024-06-01,5,299.34,0
23300,737,2024-06-05,2,46.12,0
23420,508,2024-08-19,4,498.66,0
23570,721,2024-05-21,5,192.8,0
23601,468,2024-08-12,3,408.46,0
23672,158,2024-10-30,2,91.76,0
23687,371,2025-03-03,2,308.07,0
23743,388,2024-04-14,4,235.81,0
23747,558,2024-08-15,1,51.1,0
23807,547,2024-12-02,5,397.63,0
24024,869,2024-05-09,5,419.98,0
24025,761,2024-10-16,5,62.46,0
24054,953,2024-11-05,3,220.73,0
24078,344,2024-11-29,5,364.91,0
24147,568,2024-08-23,1,268.26,0
24175,122,2025-03-19,5,470.43,0
24196,229,2025-01-06,1,231.51,0
24426,943,2025-02-07,2,443.49,0
24487,468,2024-07-01,1,372.43,0
24639,797,2024-05-30,3,238.77,0
24734,674,2025-03-05,2,95.99,0
24744,818,2024-07-08,5,200.44,0
25091,766,2025-01-30,5,119.75,0
25229,644,2024-10-09,2,157.56,0
25309,977,2024-08-24,3,368.91,0
25370,576,2024-09-09,1,366.61,0
25536,482,2024-08-07,3,344.77,0
25561,275,2024-11-23,1,330.94,0
25702,423,2025-03-12,4,306.66,0
25747,874,2025-03-18,4,60.76,0
25761,657,2024-05-11,4,449.55,0
25852,544,2025-02-04,3,79.96,0
25889,507,2024-09-24,4,255.89,0
25897,247,2024-11-22,5,65.87,0
25952,448,2024-12-30,5,287.5,0
25974,123,2025-02-12,1,65.69,0
25985,480,2025-02-07,2,353.23,0
26160,374,2025-03-04,2,452.2,0
26186,822,2024-05-27,3,142.84,0
26392,282,2025-01-28,1,467.54,0
26457,279,2024-10-07,5,456.55,0
26545,985,2024-05-08,2,470.08,0
26583,217,2024-04-10,4,43.23,0
26652,952,2024-09-24,2,480.79,0
26742,349,2024-08-30,3,456.63,0
26759,762,2024-04-30,3,110.55,0
26849,667,2024-11-24,3,116.74,0
27117,312,2024-11-27,4,245.65,0
27123,144,2024-12-27,3,162.7,0
27140,260,2024-08-17,1,408.63,0
27148,635,2025-01-07,1,235.88,0
27282,405,2024-07-15,2,292.9,0
27303,119,2024-05-25,1,470.23,0
27389,549,2025-01-31,2,321.14,0
27462,864,2024-09-08,5,466.38,0
27584,366,2025-01-10,1,79.8,0
27730,385,2025-03-19,1,366.27,0
27736,106,2024-11-08,1,497.89,0
27766,257,2024-09-25,5,154.72,0
27836,302,2024-06-09,4,110.67,0
28063,398,2024-05-03,5,16.7,0
28186,889,2024-05-17,1,75.71,0
28298,555,2024-06-07,3,346.82,0
28381,973,2024-04-26,1,324.51,0
28608,436,2024-04-08,1,478.75,0
28742,184,2024-06-02,5,335.61,0
28844,580,2024-04-30,2,378.89,0
29007,951,2024-09-11,4,334.37,0
29111,355,2024-11-12,3,265.77,0
29123,506,2024-09-12,3,72.66,0
29197,491,2024-06-26,5,134.12,0
29275,180,2024-11-23,4,234.04,0
29305,596,2024-07-24,3,199.31,0
29306,162,2024-12-07,3,358.82,0
29312,481,2024-08-12,4,354.83,0
29786,749,2024-09-10,3,334.67,0
29895,150,2024-04-17,3,211.29,0
29989,829,2024-12-03,4,196.16,0
30037,314,2024-08-05,5,337.8,0
30090,493,2024-03-26,3,29.52,0
30197,386,2024-07-09,1,305.82,0
